--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Sat Jun 21 22:57:40 2025
--------------------------------------------------------------------------------{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'name': 'RtkAudUService64.exe', 'pid': 18208, 'username': 'SIT-LT-378\\10774', 'vms': 3.9296875} 

{'name': 'svchost.exe', 'pid': 18400, 'username': 'SIT-LT-378\\10774', 'vms': 1.828125} 

{'name': 'conhost.exe', 'pid': 18548, 'username': 'SIT-LT-378\\10774', 'vms': 1.328125} 

{'name': 'PushNotificationsLongRunningTask.exe', 'pid': 18616, 'username': 'SIT-LT-378\\10774', 'vms': 1.8984375} 

{'name': 'Code.exe', 'pid': 18792, 'username': 'SIT-LT-378\\10774', 'vms': 402.25390625} 

{'name': 'msedge.exe', 'pid': 19052, 'username': 'SIT-LT-378\\10774', 'vms': 43.98828125} 

{'name': 'svchost.exe', 'pid': 19348, 'username': None, 'vms': 6.23046875} 

{'name': 'Code.exe', 'pid': 19612, 'username': 'SIT-LT-378\\10774', 'vms': 33.47265625} 

{'name': 'RuntimeBroker.exe', 'pid': 20004, 'username': 'SIT-LT-378\\10774', 'vms': 5.27734375} 

{'name': 'WhatsApp.exe', 'pid': 20648, 'username': 'SIT-LT-378\\10774', 'vms': 65.98828125} 

{'name': 'vapm.exe', 'pid': 20924, 'username': None, 'vms': 32.81640625} 

{'name': 'klnagent.exe', 'pid': 21056, 'username': None, 'vms': 54.55859375} 

{'name': 'Code.exe', 'pid': 21384, 'username': 'SIT-LT-378\\10774', 'vms': 33.42578125} 

{'name': 'svchost.exe', 'pid': 21460, 'username': None, 'vms': 1.30859375} 

{'name': 'explorer.exe', 'pid': 21576, 'username': 'SIT-LT-378\\10774', 'vms': 224.17578125} 

{'name': 'svchost.exe', 'pid': 21764, 'username': 'SIT-LT-378\\10774', 'vms': 8.484375} 

{'name': 'svchost.exe', 'pid': 21952, 'username': None, 'vms': 3.1875} 

{'name': 'msedgewebview2.exe', 'pid': 22100, 'username': 'SIT-LT-378\\10774', 'vms': 2.3125} 

{'name': 'ServiceShell.exe', 'pid': 22184, 'username': None, 'vms': 154.30859375} 

{'name': 'chrome.exe', 'pid': 22284, 'username': 'SIT-LT-378\\10774', 'vms': 31.45703125} 

{'name': 'wpscenter.exe', 'pid': 22680, 'username': 'SIT-LT-378\\10774', 'vms': 13.96484375} 

{'name': 'svchost.exe', 'pid': 22748, 'username': None, 'vms': 1.73046875} 

{'name': 'svchost.exe', 'pid': 22796, 'username': 'SIT-LT-378\\10774', 'vms': 8.546875} 

{'name': 'svchost.exe', 'pid': 22856, 'username': None, 'vms': 3.171875} 

{'name': 'powershell.exe', 'pid': 22904, 'username': 'SIT-LT-378\\10774', 'vms': 84.6875} 

{'name': 'Code.exe', 'pid': 22932, 'username': 'SIT-LT-378\\10774', 'vms': 124.421875} 

{'name': 'wpscloudsvr.exe', 'pid': 22944, 'username': 'SIT-LT-378\\10774', 'vms': 63.15234375} 

{'name': 'taskhostw.exe', 'pid': 23236, 'username': 'SIT-LT-378\\10774', 'vms': 8.3125} 

{'name': 'powershell.exe', 'pid': 23408, 'username': 'SIT-LT-378\\10774', 'vms': 85.453125} 

{'name': 'Code.exe', 'pid': 23428, 'username': 'SIT-LT-378\\10774', 'vms': 10.54296875} 

{'name': 'Code.exe', 'pid': 23480, 'username': 'SIT-LT-378\\10774', 'vms': 162.67578125} 

{'name': 'RuntimeBroker.exe', 'pid': 23612, 'username': 'SIT-LT-378\\10774', 'vms': 4.5} 

{'name': 'ShellExperienceHost.exe', 'pid': 23616, 'username': 'SIT-LT-378\\10774', 'vms': 41.640625} 

{'name': 'msedgewebview2.exe', 'pid': 23660, 'username': 'SIT-LT-378\\10774', 'vms': 36.24609375} 

{'name': 'SystemSettings.exe', 'pid': 23724, 'username': 'SIT-LT-378\\10774', 'vms': 49.40625} 

{'name': 'sihost.exe', 'pid': 23860, 'username': 'SIT-LT-378\\10774', 'vms': 7.46875} 

{'name': 'chrome.exe', 'pid': 23888, 'username': 'SIT-LT-378\\10774', 'vms': 9.08203125} 

{'name': 'chrome.exe', 'pid': 24024, 'username': 'SIT-LT-378\\10774', 'vms': 12.0859375} 

{'name': 'svchost.exe', 'pid': 24116, 'username': 'SIT-LT-378\\10774', 'vms': 8.68359375} 

{'name': 'slack.exe', 'pid': 24160, 'username': 'SIT-LT-378\\10774', 'vms': 98.07421875} 

{'name': 'slack.exe', 'pid': 24316, 'username': 'SIT-LT-378\\10774', 'vms': 316.62890625} 

{'name': 'svchost.exe', 'pid': 24340, 'username': 'SIT-LT-378\\10774', 'vms': 7.4453125} 

{'name': 'svchost.exe', 'pid': 24624, 'username': None, 'vms': 3.66015625} 

{'name': 'conhost.exe', 'pid': 24796, 'username': 'SIT-LT-378\\10774', 'vms': 1.3359375} 

{'name': 'svchost.exe', 'pid': 24864, 'username': None, 'vms': 4.34375} 

{'name': 'TextInputHost.exe', 'pid': 25176, 'username': 'SIT-LT-378\\10774', 'vms': 35.46484375} 

{'name': 'chrome.exe', 'pid': 25284, 'username': 'SIT-LT-378\\10774', 'vms': 27.76171875} 

{'name': 'AnyDesk.exe', 'pid': 25512, 'username': 'SIT-LT-378\\10774', 'vms': 29.6796875} 

--------------------------------------------------------------------------------
